date,Manggarai Timur,isPartial
2016-11-27,14,False
2016-12-04,18,False
2016-12-11,14,False
2016-12-18,10,False
2016-12-25,0,False
2017-01-01,10,False
2017-01-08,10,False
2017-01-15,9,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,9,False
2017-02-12,9,False
2017-02-19,24,False
2017-02-26,14,False
2017-03-05,14,False
2017-03-12,18,False
2017-03-19,14,False
2017-03-26,9,False
2017-04-02,5,False
2017-04-09,14,False
2017-04-16,9,False
2017-04-23,27,False
2017-04-30,27,False
2017-05-07,23,False
2017-05-14,14,False
2017-05-21,10,False
2017-05-28,30,False
2017-06-04,15,False
2017-06-11,15,False
2017-06-18,21,False
2017-06-25,12,False
2017-07-02,5,False
2017-07-09,43,False
2017-07-16,25,False
2017-07-23,19,False
2017-07-30,9,False
2017-08-06,14,False
2017-08-13,9,False
2017-08-20,0,False
2017-08-27,10,False
2017-09-03,9,False
2017-09-10,9,False
2017-09-17,0,False
2017-09-24,9,False
2017-10-01,27,False
2017-10-08,4,False
2017-10-15,18,False
2017-10-22,9,False
2017-10-29,13,False
2017-11-05,27,False
2017-11-12,0,False
2017-11-19,13,False
2017-11-26,9,False
2017-12-03,13,False
2017-12-10,27,False
2017-12-17,0,False
2017-12-24,19,False
2017-12-31,24,False
2018-01-07,18,False
2018-01-14,17,False
2018-01-21,18,False
2018-01-28,41,False
2018-02-04,27,False
2018-02-11,14,False
2018-02-18,27,False
2018-02-25,22,False
2018-03-04,0,False
2018-03-11,13,False
2018-03-18,39,False
2018-03-25,18,False
2018-04-01,35,False
2018-04-08,13,False
2018-04-15,39,False
2018-04-22,17,False
2018-04-29,13,False
2018-05-06,13,False
2018-05-13,18,False
2018-05-20,13,False
2018-05-27,27,False
2018-06-03,23,False
2018-06-10,10,False
2018-06-17,22,False
2018-06-24,100,False
2018-07-01,27,False
2018-07-08,12,False
2018-07-15,13,False
2018-07-22,13,False
2018-07-29,12,False
2018-08-05,28,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,22,False
2018-09-02,13,False
2018-09-09,31,False
2018-09-16,17,False
2018-09-23,39,False
