date,Padang Pariaman,isPartial
2016-11-27,26,False
2016-12-04,23,False
2016-12-11,21,False
2016-12-18,27,False
2016-12-25,37,False
2017-01-01,15,False
2017-01-08,18,False
2017-01-15,40,False
2017-01-22,30,False
2017-01-29,23,False
2017-02-05,40,False
2017-02-12,34,False
2017-02-19,23,False
2017-02-26,37,False
2017-03-05,34,False
2017-03-12,37,False
2017-03-19,23,False
2017-03-26,34,False
2017-04-02,28,False
2017-04-09,22,False
2017-04-16,38,False
2017-04-23,25,False
2017-04-30,42,False
2017-05-07,37,False
2017-05-14,12,False
2017-05-21,25,False
2017-05-28,18,False
2017-06-04,27,False
2017-06-11,31,False
2017-06-18,22,False
2017-06-25,29,False
2017-07-02,24,False
2017-07-09,24,False
2017-07-16,24,False
2017-07-23,26,False
2017-07-30,20,False
2017-08-06,23,False
2017-08-13,26,False
2017-08-20,23,False
2017-08-27,45,False
2017-09-03,14,False
2017-09-10,31,False
2017-09-17,17,False
2017-09-24,42,False
2017-10-01,25,False
2017-10-08,22,False
2017-10-15,28,False
2017-10-22,42,False
2017-10-29,30,False
2017-11-05,33,False
2017-11-12,28,False
2017-11-19,31,False
2017-11-26,25,False
2017-12-03,25,False
2017-12-10,56,False
2017-12-17,35,False
2017-12-24,36,False
2017-12-31,35,False
2018-01-07,30,False
2018-01-14,29,False
2018-01-21,55,False
2018-01-28,14,False
2018-02-04,31,False
2018-02-11,20,False
2018-02-18,39,False
2018-02-25,49,False
2018-03-04,27,False
2018-03-11,35,False
2018-03-18,22,False
2018-03-25,52,False
2018-04-01,46,False
2018-04-08,30,False
2018-04-15,35,False
2018-04-22,30,False
2018-04-29,36,False
2018-05-06,39,False
2018-05-13,54,False
2018-05-20,43,False
2018-05-27,31,False
2018-06-03,29,False
2018-06-10,37,False
2018-06-17,45,False
2018-06-24,50,False
2018-07-01,36,False
2018-07-08,43,False
2018-07-15,35,False
2018-07-22,31,False
2018-07-29,41,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,55,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,41,False
2018-09-16,53,False
2018-09-23,43,False
2018-09-30,29,False
2018-10-07,39,False
2018-10-14,38,False
2018-10-21,96,False
2018-10-28,35,False
2018-11-04,42,False
2018-11-11,40,False
2018-11-18,48,False
2018-11-25,61,False
2018-12-02,60,False
2018-12-09,59,False
2018-12-16,42,False
2018-12-23,48,False
2018-12-30,51,False
2019-01-06,68,False
2019-01-13,44,False
2019-01-20,60,False
2019-01-27,35,False
2019-02-03,32,False
2019-02-10,18,False
2019-02-17,32,False
2019-02-24,45,False
2019-03-03,49,False
2019-03-10,42,False
