date,Minahasa,isPartial
2016-11-27,27,False
2016-12-04,19,False
2016-12-11,8,False
2016-12-18,11,False
2016-12-25,23,False
2017-01-01,23,False
2017-01-08,12,False
2017-01-15,16,False
2017-01-22,13,False
2017-01-29,20,False
2017-02-05,14,False
2017-02-12,18,False
2017-02-19,19,False
2017-02-26,24,False
2017-03-05,19,False
2017-03-12,25,False
2017-03-19,26,False
2017-03-26,27,False
2017-04-02,21,False
2017-04-09,9,False
2017-04-16,19,False
2017-04-23,18,False
2017-04-30,18,False
2017-05-07,18,False
2017-05-14,86,False
2017-05-21,23,False
2017-05-28,19,False
2017-06-04,30,False
2017-06-11,19,False
2017-06-18,11,False
2017-06-25,28,False
2017-07-02,18,False
2017-07-09,15,False
2017-07-16,19,False
2017-07-23,22,False
2017-07-30,26,False
2017-08-06,14,False
2017-08-13,16,False
2017-08-20,20,False
2017-08-27,22,False
2017-09-03,20,False
2017-09-10,22,False
2017-09-17,13,False
2017-09-24,25,False
2017-10-01,21,False
2017-10-08,21,False
2017-10-15,17,False
2017-10-22,19,False
2017-10-29,21,False
2017-11-05,19,False
2017-11-12,23,False
2017-11-19,18,False
2017-11-26,19,False
2017-12-03,23,False
2017-12-10,18,False
2017-12-17,10,False
2017-12-24,11,False
2017-12-31,15,False
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,21,False
2018-02-04,18,False
2018-02-11,22,False
2018-02-18,15,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,20,False
2018-03-18,14,False
2018-03-25,14,False
2018-04-01,17,False
2018-04-08,13,False
2018-04-15,22,False
2018-04-22,20,False
2018-04-29,15,False
2018-05-06,21,False
2018-05-13,18,False
2018-05-20,22,False
2018-05-27,19,False
2018-06-03,15,False
2018-06-10,10,False
2018-06-17,17,False
2018-06-24,51,False
2018-07-01,16,False
2018-07-08,17,False
2018-07-15,28,False
2018-07-22,26,False
2018-07-29,22,False
2018-08-05,15,False
2018-08-12,23,False
2018-08-19,26,False
2018-08-26,19,False
2018-09-02,24,False
2018-09-09,21,False
2018-09-16,27,False
2018-09-23,28,False
2018-09-30,93,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,28,False
2018-10-28,26,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,28,False
2018-11-25,22,False
2018-12-02,20,False
2018-12-09,9,False
2018-12-16,14,False
2018-12-23,22,False
2018-12-30,6,False
2019-01-06,33,False
2019-01-13,28,False
2019-01-20,30,False
2019-01-27,19,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,22,False
2019-03-10,24,False
2019-03-17,24,False
2019-03-24,30,False
2019-03-31,28,False
2019-04-07,26,False
2019-04-14,39,False
2019-04-21,26,False
2019-04-28,32,False
2019-05-05,26,False
2019-05-12,19,False
2019-05-19,21,False
2019-05-26,13,False
2019-06-02,15,False
2019-06-09,17,False
2019-06-16,17,False
2019-06-23,15,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,21,False
2019-08-11,26,False
2019-08-18,19,False
2019-08-25,23,False
2019-09-01,19,False
2019-09-08,16,False
2019-09-15,20,False
2019-09-22,27,False
2019-09-29,21,False
2019-10-06,28,False
2019-10-13,15,False
2019-10-20,93,False
2019-10-27,29,False
2019-11-03,18,False
2019-11-10,36,False
2019-11-17,23,False
2019-11-24,28,False
2019-12-01,31,False
2019-12-08,24,False
2019-12-15,21,False
2019-12-22,14,False
2019-12-29,14,False
2020-01-05,23,False
2020-01-12,23,False
2020-01-19,28,False
2020-01-26,100,False
2020-02-02,52,False
2020-02-09,33,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,32,False
2020-03-08,25,False
2020-03-15,30,False
2020-03-22,33,False
2020-03-29,24,False
2020-04-05,25,False
2020-04-12,26,False
2020-04-19,23,False
2020-04-26,20,False
2020-05-03,28,False
2020-05-10,27,False
2020-05-17,22,False
2020-05-24,23,False
2020-05-31,43,False
2020-06-07,42,False
2020-06-14,32,False
2020-06-21,18,False
2020-06-28,21,False
2020-07-05,22,False
2020-07-12,18,False
2020-07-19,24,False
2020-07-26,21,False
2020-08-02,26,False
2020-08-09,23,False
2020-08-16,25,False
2020-08-23,23,False
2020-08-30,26,False
2020-09-06,26,False
2020-09-13,23,False
2020-09-20,30,False
2020-09-27,28,False
2020-10-04,23,False
2020-10-11,31,False
2020-10-18,27,False
2020-10-25,21,False
2020-11-01,29,False
2020-11-08,25,False
2020-11-15,18,False
2020-11-22,32,False
2020-11-29,49,False
2020-12-06,34,False
2020-12-13,16,False
2020-12-20,21,False
2020-12-27,13,False
2021-01-03,17,False
2021-01-10,24,False
2021-01-17,21,False
2021-01-24,54,False
2021-01-31,28,False
2021-02-07,36,False
2021-02-14,51,False
2021-02-21,36,False
2021-02-28,38,False
2021-03-07,26,False
2021-03-14,48,False
2021-03-21,28,False
2021-03-28,29,False
2021-04-04,27,False
2021-04-11,30,False
2021-04-18,19,False
2021-04-25,25,False
2021-05-02,29,False
2021-05-09,19,False
2021-05-16,23,False
2021-05-23,24,False
2021-05-30,36,False
2021-06-06,42,False
2021-06-13,16,False
2021-06-20,24,False
2021-06-27,37,False
2021-07-04,17,False
2021-07-11,16,False
2021-07-18,19,False
2021-07-25,19,False
2021-08-01,19,False
2021-08-08,18,False
2021-08-15,18,False
2021-08-22,26,False
2021-08-29,24,False
2021-09-05,27,False
2021-09-12,27,False
2021-09-19,23,False
2021-09-26,29,False
2021-10-03,21,False
2021-10-10,23,False
2021-10-17,26,False
2021-10-24,17,False
2021-10-31,22,False
2021-11-07,22,False
2021-11-14,29,True
