date,Lombok Tengah,isPartial
2016-11-27,11,False
2016-12-04,16,False
2016-12-11,13,False
2016-12-18,15,False
2016-12-25,28,False
2017-01-01,33,False
2017-01-08,21,False
2017-01-15,29,False
2017-01-22,32,False
2017-01-29,24,False
2017-02-05,13,False
2017-02-12,20,False
2017-02-19,18,False
2017-02-26,13,False
2017-03-05,20,False
2017-03-12,23,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,16,False
2017-04-09,25,False
2017-04-16,5,False
2017-04-23,9,False
2017-04-30,16,False
2017-05-07,14,False
2017-05-14,17,False
2017-05-21,16,False
2017-05-28,23,False
2017-06-04,23,False
2017-06-11,21,False
2017-06-18,14,False
2017-06-25,25,False
2017-07-02,21,False
2017-07-09,17,False
2017-07-16,17,False
2017-07-23,17,False
2017-07-30,22,False
2017-08-06,13,False
2017-08-13,21,False
2017-08-20,18,False
2017-08-27,11,False
2017-09-03,9,False
2017-09-10,16,False
2017-09-17,13,False
2017-09-24,23,False
2017-10-01,7,False
2017-10-08,11,False
2017-10-15,27,False
2017-10-22,30,False
2017-10-29,21,False
2017-11-05,18,False
2017-11-12,18,False
2017-11-19,14,False
2017-11-26,13,False
2017-12-03,19,False
2017-12-10,25,False
2017-12-17,11,False
2017-12-24,25,False
2017-12-31,28,False
2018-01-07,31,False
2018-01-14,26,False
2018-01-21,23,False
2018-01-28,19,False
2018-02-04,34,False
2018-02-11,23,False
2018-02-18,21,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,19,False
2018-03-18,14,False
2018-03-25,21,False
2018-04-01,33,False
2018-04-08,22,False
2018-04-15,19,False
2018-04-22,20,False
2018-04-29,18,False
2018-05-06,19,False
2018-05-13,23,False
2018-05-20,14,False
2018-05-27,20,False
2018-06-03,13,False
2018-06-10,20,False
2018-06-17,25,False
2018-06-24,22,False
2018-07-01,23,False
2018-07-08,19,False
2018-07-15,31,False
2018-07-22,20,False
2018-07-29,16,False
2018-08-05,48,False
2018-08-12,19,False
2018-08-19,22,False
2018-08-26,19,False
2018-09-02,16,False
2018-09-09,12,False
2018-09-16,40,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,27,False
2018-10-14,22,False
2018-10-21,18,False
2018-10-28,34,False
2018-11-04,28,False
2018-11-11,24,False
2018-11-18,22,False
2018-11-25,25,False
2018-12-02,19,False
2018-12-09,21,False
2018-12-16,27,False
2018-12-23,23,False
2018-12-30,21,False
2019-01-06,19,False
