date,Majalengka,isPartial
2016-11-27,42,False
2016-12-04,35,False
2016-12-11,44,False
2016-12-18,52,False
2016-12-25,48,False
2017-01-01,69,False
2017-01-08,38,False
2017-01-15,38,False
2017-01-22,35,False
2017-01-29,31,False
2017-02-05,35,False
2017-02-12,33,False
2017-02-19,31,False
2017-02-26,38,False
2017-03-05,34,False
2017-03-12,37,False
2017-03-19,36,False
2017-03-26,35,False
2017-04-02,53,False
2017-04-09,44,False
2017-04-16,45,False
2017-04-23,37,False
2017-04-30,37,False
2017-05-07,38,False
2017-05-14,40,False
2017-05-21,40,False
2017-05-28,38,False
2017-06-04,41,False
2017-06-11,41,False
2017-06-18,37,False
2017-06-25,80,False
2017-07-02,56,False
2017-07-09,43,False
2017-07-16,43,False
2017-07-23,39,False
2017-07-30,34,False
2017-08-06,37,False
2017-08-13,36,False
2017-08-20,37,False
2017-08-27,43,False
2017-09-03,30,False
2017-09-10,39,False
2017-09-17,42,False
2017-09-24,33,False
2017-10-01,33,False
2017-10-08,39,False
2017-10-15,32,False
2017-10-22,33,False
2017-10-29,36,False
2017-11-05,41,False
2017-11-12,38,False
2017-11-19,30,False
2017-11-26,46,False
2017-12-03,46,False
2017-12-10,50,False
2017-12-17,49,False
2017-12-24,54,False
2017-12-31,59,False
2018-01-07,51,False
2018-01-14,35,False
2018-01-21,44,False
2018-01-28,43,False
2018-02-04,48,False
2018-02-11,42,False
2018-02-18,43,False
2018-02-25,35,False
2018-03-04,44,False
2018-03-11,45,False
2018-03-18,38,False
2018-03-25,46,False
2018-04-01,49,False
2018-04-08,36,False
2018-04-15,48,False
2018-04-22,33,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,37,False
2018-05-20,69,False
2018-05-27,48,False
2018-06-03,49,False
2018-06-10,76,False
2018-06-17,91,False
2018-06-24,90,False
2018-07-01,51,False
2018-07-08,49,False
2018-07-15,51,False
2018-07-22,36,False
2018-07-29,31,False
2018-08-05,40,False
2018-08-12,43,False
2018-08-19,40,False
2018-08-26,43,False
2018-09-02,43,False
2018-09-09,41,False
2018-09-16,42,False
2018-09-23,53,False
2018-09-30,45,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,62,False
2018-10-28,42,False
2018-11-04,40,False
2018-11-11,38,False
2018-11-18,52,False
2018-11-25,41,False
2018-12-02,48,False
2018-12-09,37,False
2018-12-16,52,False
2018-12-23,72,False
2018-12-30,74,False
2019-01-06,43,False
2019-01-13,43,False
2019-01-20,35,False
2019-01-27,46,False
2019-02-03,44,False
2019-02-10,46,False
2019-02-17,46,False
2019-02-24,48,False
2019-03-03,46,False
2019-03-10,34,False
2019-03-17,48,False
2019-03-24,40,False
2019-03-31,39,False
2019-04-07,41,False
2019-04-14,46,False
2019-04-21,46,False
2019-04-28,48,False
2019-05-05,42,False
2019-05-12,44,False
2019-05-19,39,False
2019-05-26,42,False
2019-06-02,100,False
2019-06-09,65,False
2019-06-16,67,False
2019-06-23,60,False
2019-06-30,58,False
2019-07-07,55,False
2019-07-14,46,False
2019-07-21,54,False
2019-07-28,42,False
2019-08-04,47,False
2019-08-11,34,False
2019-08-18,47,False
2019-08-25,50,False
2019-09-01,44,False
2019-09-08,42,False
2019-09-15,47,False
2019-09-22,44,False
2019-09-29,49,False
2019-10-06,45,False
2019-10-13,53,False
2019-10-20,42,False
2019-10-27,43,False
2019-11-03,49,False
2019-11-10,72,False
2019-11-17,59,False
2019-11-24,37,False
2019-12-01,44,False
2019-12-08,45,False
2019-12-15,56,False
2019-12-22,63,False
2019-12-29,84,False
2020-01-05,49,False
2020-01-12,54,False
2020-01-19,52,False
2020-01-26,56,False
2020-02-02,52,False
2020-02-09,54,False
2020-02-16,54,False
2020-02-23,54,False
2020-03-01,51,False
2020-03-08,51,False
2020-03-15,43,False
2020-03-22,36,False
2020-03-29,35,False
2020-04-05,33,False
2020-04-12,38,False
2020-04-19,30,False
2020-04-26,42,False
2020-05-03,40,False
2020-05-10,44,False
2020-05-17,45,False
2020-05-24,60,False
2020-05-31,58,False
2020-06-07,63,False
2020-06-14,65,False
2020-06-21,63,False
2020-06-28,65,False
2020-07-05,78,False
2020-07-12,59,False
2020-07-19,55,False
2020-07-26,66,False
2020-08-02,51,False
2020-08-09,48,False
2020-08-16,49,False
2020-08-23,56,False
