date,Kapuas,isPartial
2016-11-27,56,False
2016-12-04,37,False
2016-12-11,34,False
2016-12-18,46,False
2016-12-25,52,False
2017-01-01,43,False
2017-01-08,39,False
2017-01-15,55,False
2017-01-22,43,False
2017-01-29,35,False
2017-02-05,58,False
2017-02-12,47,False
2017-02-19,51,False
2017-02-26,28,False
2017-03-05,46,False
2017-03-12,54,False
2017-03-19,40,False
2017-03-26,62,False
2017-04-02,41,False
2017-04-09,46,False
2017-04-16,36,False
2017-04-23,54,False
2017-04-30,46,False
2017-05-07,37,False
2017-05-14,41,False
2017-05-21,52,False
2017-05-28,62,False
2017-06-04,51,False
2017-06-11,43,False
2017-06-18,45,False
2017-06-25,33,False
2017-07-02,62,False
2017-07-09,50,False
2017-07-16,50,False
2017-07-23,40,False
2017-07-30,51,False
2017-08-06,73,False
2017-08-13,64,False
2017-08-20,58,False
2017-08-27,46,False
2017-09-03,44,False
2017-09-10,55,False
2017-09-17,46,False
2017-09-24,46,False
2017-10-01,40,False
2017-10-08,53,False
2017-10-15,44,False
2017-10-22,43,False
2017-10-29,48,False
2017-11-05,56,False
2017-11-12,42,False
2017-11-19,44,False
2017-11-26,37,False
2017-12-03,41,False
2017-12-10,21,False
2017-12-17,31,False
2017-12-24,51,False
2017-12-31,40,False
2018-01-07,46,False
2018-01-14,41,False
2018-01-21,37,False
2018-01-28,38,False
2018-02-04,49,False
2018-02-11,50,False
2018-02-18,45,False
2018-02-25,64,False
2018-03-04,33,False
2018-03-11,40,False
2018-03-18,44,False
2018-03-25,45,False
2018-04-01,47,False
2018-04-08,39,False
2018-04-15,68,False
2018-04-22,36,False
2018-04-29,65,False
2018-05-06,48,False
2018-05-13,68,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,45,False
2018-06-10,37,False
2018-06-17,33,False
2018-06-24,85,False
2018-07-01,34,False
2018-07-08,60,False
2018-07-15,44,False
2018-07-22,61,False
2018-07-29,67,False
2018-08-05,62,False
2018-08-12,49,False
2018-08-19,44,False
2018-08-26,51,False
2018-09-02,42,False
2018-09-09,80,False
2018-09-16,52,False
2018-09-23,71,False
2018-09-30,58,False
2018-10-07,47,False
2018-10-14,65,False
2018-10-21,49,False
2018-10-28,52,False
2018-11-04,53,False
2018-11-11,42,False
2018-11-18,45,False
2018-11-25,51,False
2018-12-02,57,False
2018-12-09,40,False
2018-12-16,47,False
2018-12-23,44,False
2018-12-30,52,False
2019-01-06,68,False
2019-01-13,44,False
2019-01-20,60,False
2019-01-27,44,False
2019-02-03,47,False
2019-02-10,30,False
2019-02-17,54,False
2019-02-24,45,False
2019-03-03,47,False
2019-03-10,53,False
2019-03-17,50,False
2019-03-24,57,False
2019-03-31,90,False
2019-04-07,44,False
2019-04-14,48,False
2019-04-21,51,False
2019-04-28,47,False
2019-05-05,58,False
2019-05-12,54,False
2019-05-19,49,False
2019-05-26,46,False
2019-06-02,45,False
2019-06-09,55,False
2019-06-16,50,False
2019-06-23,41,False
2019-06-30,46,False
2019-07-07,53,False
2019-07-14,45,False
2019-07-21,61,False
2019-07-28,47,False
2019-08-04,54,False
2019-08-11,58,False
2019-08-18,55,False
2019-08-25,42,False
2019-09-01,41,False
2019-09-08,44,False
2019-09-15,42,False
2019-09-22,44,False
2019-09-29,39,False
2019-10-06,50,False
2019-10-13,57,False
2019-10-20,56,False
2019-10-27,42,False
2019-11-03,43,False
2019-11-10,63,False
2019-11-17,60,False
2019-11-24,48,False
2019-12-01,59,False
2019-12-08,45,False
2019-12-15,44,False
2019-12-22,36,False
2019-12-29,47,False
2020-01-05,48,False
2020-01-12,54,False
2020-01-19,57,False
2020-01-26,57,False
2020-02-02,65,False
2020-02-09,50,False
2020-02-16,43,False
2020-02-23,55,False
2020-03-01,54,False
2020-03-08,70,False
2020-03-15,54,False
2020-03-22,44,False
2020-03-29,43,False
2020-04-05,38,False
2020-04-12,46,False
2020-04-19,44,False
2020-04-26,53,False
2020-05-03,41,False
2020-05-10,56,False
2020-05-17,39,False
2020-05-24,54,False
2020-05-31,49,False
2020-06-07,56,False
2020-06-14,43,False
2020-06-21,51,False
2020-06-28,41,False
2020-07-05,48,False
2020-07-12,48,False
2020-07-19,54,False
2020-07-26,62,False
2020-08-02,52,False
2020-08-09,62,False
2020-08-16,63,False
2020-08-23,72,False
2020-08-30,40,False
2020-09-06,53,False
2020-09-13,61,False
2020-09-20,65,False
2020-09-27,55,False
2020-10-04,52,False
2020-10-11,44,False
2020-10-18,47,False
2020-10-25,35,False
2020-11-01,48,False
2020-11-08,43,False
2020-11-15,51,False
2020-11-22,57,False
2020-11-29,60,False
2020-12-06,100,False
2020-12-13,69,False
2020-12-20,46,False
2020-12-27,38,False
2021-01-03,43,False
2021-01-10,37,False
2021-01-17,53,False
2021-01-24,43,False
2021-01-31,34,False
2021-02-07,53,False
2021-02-14,52,False
2021-02-21,48,False
2021-02-28,63,False
2021-03-07,60,False
2021-03-14,55,False
2021-03-21,65,False
2021-03-28,60,False
2021-04-04,52,False
2021-04-11,55,False
2021-04-18,50,False
2021-04-25,43,False
2021-05-02,51,False
2021-05-09,45,False
2021-05-16,60,False
2021-05-23,46,False
2021-05-30,44,False
