date,Kolaka,isPartial
2016-11-27,18,False
2016-12-04,11,False
2016-12-11,18,False
2016-12-18,20,False
2016-12-25,16,False
2017-01-01,17,False
2017-01-08,17,False
2017-01-15,14,False
2017-01-22,12,False
2017-01-29,17,False
2017-02-05,15,False
2017-02-12,26,False
2017-02-19,16,False
2017-02-26,14,False
2017-03-05,12,False
2017-03-12,20,False
2017-03-19,27,False
2017-03-26,13,False
2017-04-02,6,False
2017-04-09,20,False
2017-04-16,17,False
2017-04-23,34,False
2017-04-30,26,False
2017-05-07,18,False
2017-05-14,20,False
2017-05-21,14,False
2017-05-28,15,False
2017-06-04,21,False
2017-06-11,25,False
2017-06-18,13,False
2017-06-25,20,False
2017-07-02,18,False
2017-07-09,20,False
2017-07-16,12,False
2017-07-23,21,False
2017-07-30,19,False
2017-08-06,23,False
2017-08-13,26,False
2017-08-20,7,False
2017-08-27,13,False
2017-09-03,11,False
2017-09-10,13,False
2017-09-17,18,False
2017-09-24,9,False
2017-10-01,17,False
2017-10-08,20,False
2017-10-15,89,False
2017-10-22,34,False
2017-10-29,22,False
2017-11-05,25,False
2017-11-12,22,False
2017-11-19,23,False
2017-11-26,26,False
2017-12-03,23,False
2017-12-10,19,False
2017-12-17,25,False
2017-12-24,18,False
2017-12-31,12,False
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,16,False
2018-01-28,22,False
2018-02-04,25,False
2018-02-11,14,False
2018-02-18,23,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,16,False
2018-03-18,15,False
2018-03-25,18,False
2018-04-01,26,False
2018-04-08,21,False
2018-04-15,20,False
2018-04-22,19,False
2018-04-29,15,False
2018-05-06,15,False
2018-05-13,25,False
2018-05-20,16,False
2018-05-27,18,False
2018-06-03,18,False
2018-06-10,20,False
2018-06-17,33,False
2018-06-24,45,False
2018-07-01,35,False
2018-07-08,28,False
2018-07-15,19,False
2018-07-22,15,False
2018-07-29,27,False
2018-08-05,17,False
2018-08-12,24,False
2018-08-19,12,False
2018-08-26,22,False
2018-09-02,19,False
2018-09-09,24,False
2018-09-16,25,False
2018-09-23,35,False
2018-09-30,36,False
2018-10-07,32,False
2018-10-14,21,False
2018-10-21,28,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,27,False
2018-11-18,14,False
2018-11-25,31,False
2018-12-02,32,False
2018-12-09,23,False
2018-12-16,27,False
2018-12-23,21,False
2018-12-30,20,False
2019-01-06,22,False
2019-01-13,25,False
2019-01-20,27,False
2019-01-27,25,False
2019-02-03,27,False
2019-02-10,23,False
2019-02-17,34,False
2019-02-24,23,False
2019-03-03,24,False
2019-03-10,21,False
2019-03-17,23,False
2019-03-24,17,False
2019-03-31,16,False
2019-04-07,39,False
2019-04-14,31,False
2019-04-21,22,False
2019-04-28,25,False
2019-05-05,32,False
2019-05-12,28,False
2019-05-19,13,False
2019-05-26,20,False
2019-06-02,25,False
2019-06-09,32,False
2019-06-16,33,False
