date,Maybrat,isPartial
2016-11-27,6,False
2016-12-04,6,False
2016-12-11,0,False
2016-12-18,6,False
2016-12-25,6,False
2017-01-01,0,False
2017-01-08,6,False
2017-01-15,6,False
2017-01-22,0,False
2017-01-29,12,False
2017-02-05,0,False
2017-02-12,18,False
2017-02-19,48,False
2017-02-26,41,False
2017-03-05,12,False
2017-03-12,18,False
2017-03-19,24,False
2017-03-26,29,False
2017-04-02,12,False
2017-04-09,0,False
2017-04-16,6,False
2017-04-23,29,False
2017-04-30,12,False
2017-05-07,12,False
2017-05-14,18,False
2017-05-21,26,False
2017-05-28,25,False
2017-06-04,25,False
2017-06-11,0,False
2017-06-18,13,False
2017-06-25,0,False
2017-07-02,19,False
2017-07-09,18,False
2017-07-16,6,False
2017-07-23,0,False
2017-07-30,12,False
2017-08-06,6,False
2017-08-13,18,False
2017-08-20,6,False
2017-08-27,19,False
2017-09-03,0,False
2017-09-10,6,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,6,False
2017-10-08,6,False
2017-10-15,0,False
2017-10-22,11,False
2017-10-29,6,False
2017-11-05,6,False
2017-11-12,0,False
2017-11-19,6,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,6,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,6,False
2018-01-28,6,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,6,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,6,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,11,False
2018-04-22,6,False
2018-04-29,0,False
2018-05-06,6,False
2018-05-13,6,False
2018-05-20,0,False
2018-05-27,12,False
2018-06-03,24,False
2018-06-10,13,False
2018-06-17,0,False
2018-06-24,5,False
2018-07-01,25,False
2018-07-08,10,False
2018-07-15,11,False
2018-07-22,16,False
2018-07-29,11,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,18,False
2018-08-26,6,False
2018-09-02,6,False
2018-09-09,17,False
2018-09-16,11,False
2018-09-23,17,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,6,False
2018-10-21,11,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,11,False
2018-11-18,12,False
2018-11-25,6,False
2018-12-02,0,False
2018-12-09,6,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,6,False
2019-01-06,11,False
2019-01-13,6,False
2019-01-20,6,False
2019-01-27,0,False
2019-02-03,6,False
2019-02-10,5,False
2019-02-17,5,False
2019-02-24,5,False
2019-03-03,0,False
2019-03-10,22,False
2019-03-17,5,False
2019-03-24,0,False
2019-03-31,12,False
2019-04-07,0,False
2019-04-14,6,False
2019-04-21,6,False
2019-04-28,0,False
2019-05-05,11,False
2019-05-12,6,False
2019-05-19,11,False
2019-05-26,0,False
2019-06-02,7,False
2019-06-09,0,False
2019-06-16,5,False
2019-06-23,5,False
2019-06-30,5,False
2019-07-07,16,False
2019-07-14,11,False
2019-07-21,0,False
2019-07-28,5,False
2019-08-04,0,False
2019-08-11,5,False
2019-08-18,5,False
2019-08-25,5,False
2019-09-01,0,False
2019-09-08,5,False
2019-09-15,5,False
2019-09-22,10,False
2019-09-29,10,False
2019-10-06,0,False
2019-10-13,5,False
2019-10-20,5,False
2019-10-27,5,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,10,False
2019-11-24,5,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,16,False
2019-12-22,5,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,10,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,10,False
2020-02-16,5,False
2020-02-23,10,False
2020-03-01,5,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,4,False
2020-03-29,4,False
2020-04-05,0,False
2020-04-12,4,False
2020-04-19,4,False
2020-04-26,5,False
2020-05-03,5,False
2020-05-10,5,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,4,False
2020-06-07,4,False
2020-06-14,5,False
2020-06-21,0,False
2020-06-28,5,False
2020-07-05,5,False
2020-07-12,5,False
2020-07-19,4,False
