date,Nias Barat,isPartial
2016-11-27,11,False
2016-12-04,21,False
2016-12-11,0,False
2016-12-18,34,False
2016-12-25,0,False
2017-01-01,11,False
2017-01-08,11,False
2017-01-15,11,False
2017-01-22,33,False
2017-01-29,11,False
2017-02-05,22,False
2017-02-12,11,False
2017-02-19,22,False
2017-02-26,32,False
2017-03-05,43,False
2017-03-12,21,False
2017-03-19,22,False
2017-03-26,0,False
2017-04-02,21,False
2017-04-09,11,False
2017-04-16,10,False
2017-04-23,32,False
2017-04-30,0,False
2017-05-07,11,False
2017-05-14,22,False
2017-05-21,12,False
2017-05-28,12,False
2017-06-04,23,False
2017-06-11,23,False
2017-06-18,12,False
2017-06-25,27,False
2017-07-02,0,False
2017-07-09,45,False
2017-07-16,35,False
2017-07-23,11,False
2017-07-30,43,False
2017-08-06,0,False
2017-08-13,11,False
2017-08-20,32,False
2017-08-27,23,False
2017-09-03,22,False
2017-09-10,21,False
2017-09-17,21,False
2017-09-24,21,False
2017-10-01,32,False
2017-10-08,10,False
2017-10-15,0,False
2017-10-22,32,False
2017-10-29,31,False
2017-11-05,21,False
2017-11-12,21,False
2017-11-19,10,False
2017-11-26,32,False
2017-12-03,31,False
2017-12-10,0,False
2017-12-17,11,False
2017-12-24,11,False
2017-12-31,11,False
2018-01-07,31,False
2018-01-14,20,False
2018-01-21,21,False
2018-01-28,32,False
2018-02-04,42,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,52,False
2018-03-04,31,False
2018-03-11,21,False
2018-03-18,20,False
2018-03-25,0,False
2018-04-01,10,False
2018-04-08,10,False
2018-04-15,41,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,31,False
2018-05-13,11,False
2018-05-20,30,False
2018-05-27,32,False
2018-06-03,22,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,9,False
2018-07-01,37,False
2018-07-08,28,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,19,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,42,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,60,False
2018-09-23,30,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,92,False
2018-10-21,98,False
2018-10-28,29,False
2018-11-04,30,False
2018-11-11,0,False
2018-11-18,21,False
2018-11-25,50,False
2018-12-02,41,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,31,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,30,False
2019-02-17,50,False
2019-02-24,20,False
2019-03-03,51,False
2019-03-10,10,False
2019-03-17,39,False
2019-03-24,50,False
2019-03-31,11,False
2019-04-07,10,False
2019-04-14,31,False
2019-04-21,20,False
2019-04-28,0,False
2019-05-05,10,False
2019-05-12,10,False
2019-05-19,20,False
2019-05-26,53,False
2019-06-02,25,False
2019-06-09,21,False
2019-06-16,20,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,10,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,29,False
2019-09-01,38,False
2019-09-08,0,False
2019-09-15,18,False
2019-09-22,37,False
2019-09-29,9,False
2019-10-06,9,False
2019-10-13,9,False
2019-10-20,18,False
2019-10-27,64,False
2019-11-03,19,False
