date,Lampung Barat,isPartial
2016-11-27,18,False
2016-12-04,23,False
2016-12-11,16,False
2016-12-18,27,False
2016-12-25,22,False
2017-01-01,20,False
2017-01-08,16,False
2017-01-15,14,False
2017-01-22,27,False
2017-01-29,16,False
2017-02-05,18,False
2017-02-12,57,False
2017-02-19,24,False
2017-02-26,18,False
2017-03-05,18,False
2017-03-12,15,False
2017-03-19,10,False
2017-03-26,13,False
2017-04-02,14,False
2017-04-09,19,False
2017-04-16,11,False
2017-04-23,16,False
2017-04-30,15,False
2017-05-07,11,False
2017-05-14,20,False
2017-05-21,15,False
2017-05-28,20,False
2017-06-04,24,False
2017-06-11,13,False
2017-06-18,12,False
2017-06-25,33,False
2017-07-02,21,False
2017-07-09,13,False
2017-07-16,21,False
2017-07-23,19,False
2017-07-30,19,False
2017-08-06,30,False
2017-08-13,16,False
2017-08-20,18,False
2017-08-27,15,False
2017-09-03,25,False
2017-09-10,17,False
2017-09-17,26,False
2017-09-24,25,False
2017-10-01,14,False
2017-10-08,23,False
2017-10-15,21,False
2017-10-22,17,False
2017-10-29,22,False
2017-11-05,24,False
2017-11-12,21,False
2017-11-19,21,False
2017-11-26,22,False
2017-12-03,21,False
2017-12-10,13,False
2017-12-17,12,False
2017-12-24,14,False
2017-12-31,21,False
2018-01-07,18,False
2018-01-14,27,False
2018-01-21,17,False
2018-01-28,15,False
2018-02-04,21,False
2018-02-11,16,False
2018-02-18,21,False
2018-02-25,25,False
2018-03-04,9,False
2018-03-11,24,False
2018-03-18,17,False
2018-03-25,15,False
2018-04-01,13,False
2018-04-08,13,False
2018-04-15,14,False
2018-04-22,17,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,21,False
2018-05-20,18,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,12,False
2018-06-17,20,False
2018-06-24,34,False
2018-07-01,17,False
2018-07-08,13,False
2018-07-15,28,False
2018-07-22,48,False
2018-07-29,36,False
2018-08-05,24,False
2018-08-12,26,False
2018-08-19,34,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,30,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,35,False
2018-10-07,26,False
2018-10-14,19,False
2018-10-21,26,False
2018-10-28,19,False
2018-11-04,27,False
2018-11-11,23,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,25,False
2018-12-09,24,False
2018-12-16,22,False
2018-12-23,42,False
2018-12-30,36,False
2019-01-06,21,False
2019-01-13,34,False
2019-01-20,27,False
2019-01-27,16,False
2019-02-03,21,False
2019-02-10,24,False
2019-02-17,17,False
2019-02-24,20,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,15,False
2019-03-24,17,False
2019-03-31,18,False
2019-04-07,20,False
2019-04-14,43,False
2019-04-21,31,False
2019-04-28,18,False
2019-05-05,17,False
2019-05-12,20,False
2019-05-19,18,False
2019-05-26,20,False
2019-06-02,18,False
2019-06-09,33,False
2019-06-16,28,False
2019-06-23,21,False
2019-06-30,20,False
2019-07-07,26,False
2019-07-14,22,False
2019-07-21,33,False
2019-07-28,55,False
2019-08-04,41,False
2019-08-11,37,False
2019-08-18,39,False
2019-08-25,27,False
2019-09-01,32,False
2019-09-08,28,False
2019-09-15,24,False
2019-09-22,31,False
2019-09-29,19,False
2019-10-06,23,False
2019-10-13,16,False
2019-10-20,25,False
2019-10-27,22,False
2019-11-03,32,False
2019-11-10,37,False
2019-11-17,28,False
2019-11-24,23,False
2019-12-01,29,False
2019-12-08,20,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,35,False
2020-01-05,28,False
2020-01-12,28,False
2020-01-19,35,False
2020-01-26,30,False
2020-02-02,28,False
2020-02-09,23,False
2020-02-16,28,False
2020-02-23,32,False
2020-03-01,17,False
2020-03-08,24,False
2020-03-15,26,False
2020-03-22,36,False
2020-03-29,26,False
2020-04-05,29,False
2020-04-12,29,False
2020-04-19,18,False
2020-04-26,22,False
2020-05-03,26,False
2020-05-10,27,False
2020-05-17,15,False
2020-05-24,23,False
2020-05-31,24,False
2020-06-07,27,False
2020-06-14,20,False
2020-06-21,28,False
2020-06-28,22,False
2020-07-05,9,False
2020-07-12,33,False
2020-07-19,51,False
2020-07-26,98,False
2020-08-02,100,False
2020-08-09,59,False
2020-08-16,40,False
2020-08-23,47,False
2020-08-30,44,False
2020-09-06,26,False
2020-09-13,26,False
2020-09-20,29,False
2020-09-27,33,False
2020-10-04,26,False
2020-10-11,21,False
2020-10-18,27,False
2020-10-25,26,False
2020-11-01,15,False
2020-11-08,19,False
2020-11-15,23,False
2020-11-22,18,False
2020-11-29,28,False
2020-12-06,35,False
2020-12-13,32,False
2020-12-20,27,False
2020-12-27,20,False
2021-01-03,30,False
2021-01-10,28,False
2021-01-17,29,False
2021-01-24,39,False
2021-01-31,26,False
2021-02-07,24,False
2021-02-14,36,False
2021-02-21,29,False
2021-02-28,22,False
2021-03-07,19,False
2021-03-14,36,False
2021-03-21,24,False
2021-03-28,26,False
2021-04-04,20,False
2021-04-11,23,False
2021-04-18,20,False
2021-04-25,26,False
2021-05-02,32,False
2021-05-09,17,False
2021-05-16,30,False
2021-05-23,24,False
2021-05-30,25,False
2021-06-06,33,False
2021-06-13,27,False
2021-06-20,20,False
2021-06-27,18,False
2021-07-04,20,False
2021-07-11,26,False
2021-07-18,28,False
2021-07-25,38,False
2021-08-01,55,False
2021-08-08,45,False
2021-08-15,35,False
2021-08-22,29,False
2021-08-29,25,False
2021-09-05,34,False
2021-09-12,18,False
2021-09-19,24,False
2021-09-26,23,False
2021-10-03,29,False
2021-10-10,23,False
2021-10-17,23,False
2021-10-24,21,False
2021-10-31,19,False
2021-11-07,34,False
2021-11-14,27,True
